Sentiment,User,Post Content
Negative,RealRyanWorkman,#Vote to end UNscientific lockdowns! Ever #DrFauci's cousins want to #EndTheLockdowns!  https://t.co/zQCqSiuwHr via @nypost
Negative,GTuttle420,So the rest of this is bullshit. #endlockdowns
Negative,K2Twiiiter,#OpenAmericaNow NO MORE LOCKDOWNS EVER!!!!
Negative,dsbrand11,@KamalaHarris @JoeBiden #OpenAmericaNow #NoMasks
Negative,VASweetTea,"Your decision today, vote like your life and your children's lives depend on it! #openfcps #OpenAmericaNow"
Negative,CutGovt,"@JoeBiden #LockdownsKill 

#Vote2020 #VoteForTrump 

@realDonaldTrump https://t.co/KvnSKyT5tj"
Negative,1776Dairenn,"Enough is enough.

Vote them out.  Sign recalls.  Sue.  But do something.

#LockdownsAreNotACure"
Negative,kayceeinva,@AlexBerenson @JoeBiden We can’t let cure be worse than disease! #LockdownsAreNotACure
Negative,CORWIG3,"RT @jj_talking: @TeamTrump @realDonaldTrump Vote for Biden and you can have this nonsense in your state, too. #BidenLockDown 

Michigan Bar…"
Negative,winetraveltalk,Oopsy #NoLockdowns
Positive,mhop1972,#Election2020  #vote #maga #Trump #AmericaFirst #CivilWar #2A #4MoreYears #stayathome  #2020Election https://t.co/F26WYz3AH8
Positive,mhop1972,Tuesday’s civil war. Good advice. Retweet #Election2020  #vote #4MoreYears #trump #MAGA #stayathome  #CivilWar https://t.co/JC0xmawpoi
Positive,mhop1972,Tuesday’s civil war. Good advice.  Retweet. #2A #CivilWar #VOTE #2020Election #MAGA #4MoreYears #trump #stayathome https://t.co/J9yMTZBmMp
Neutral,gmom1980,#BidenCrimeFamilyExposed #2ndLockdown #Trump2020
Neutral,gmom1980,#BidenCrimeFamilyExposed #ElectionDay #2ndLockdown #Trump2020
Neutral,NatanEhrenreich,"@nypost If people can break quarantine to vote, they can break quarantine to worship. Both are liberties granted to us in the constitution."
Neutral,LukeBur78314229,@smdj4m @thedonalddotwin @JoeBiden Have you been quarantined under rock!?!?
Neutral,321ThroatPunch,You only need to quarantine when it meets the government's needs...  **pass it on**
Neutral,shelleyt72,RT @17Commentary: Only Democrats can break quarantine.
Neutral,bettybgarrett,Just sent as a message to a quarantined family member.
Neutral,ProudUSAWoman,THE ONLY PEOPLE STAYING HOME TODAY FOR QUARANTINE WHO HAVEN'T VOTED YET ARE BIDEN SUPPORTERS !!
Neutral,csk979,@Reuters The CDC said is was ok for people in quarantine to go out and vote. Go figure
Neutral,Hollybun2,RT @MelissaAFrancis: Gee. I wonder why he picked THE DAY AFTER THE ELECTION to end the mandatory quarantine.
Neutral,kathleenmaryj,RT @MelissaAFrancis: Gee. I wonder why he picked THE DAY AFTER THE ELECTION to end the mandatory quarantine.
Neutral,HollySh43407891,RT @MelissaAFrancis: Gee. I wonder why he picked THE DAY AFTER THE ELECTION to end the mandatory quarantine.
