Sentiment,User,Post Content
Negative,Tom_Fiedler,"https://t.co/uVqMW7Zasn
#EndTheLockdown; #Liberty over #FEAR. #VOTE #VoteInPerson2020 #DontLetItDOMINATEYourLife!… https://t.co/VnVbkKOUo7"
Negative,ScotchJLK,Open Up America! In 21 days we are gonna vote out these tyrants! #OpenAmericaNow
Negative,Eghtyslady,"Now they're saying not to lockdown.   President Trump was right the whole time. 
#OpenAmericaNow"
Negative,Massasoit1620,RT @Massasoit1620: #OpenScience #OpenAmericaNow #CaliforniaforTrump #WHO says open up the economy. Where does #JoeBiden stand? With or agai…
Neutral,glasterlaw1,RT @Kingforaday1994: If @BorisJohnson backs down to #Labour and decides a #SecondLockdown is necessary he will trainwreck the economy and a…
Neutral,FromsteinSuzen,RT @Prinkingdroblem: @no_silenced @cajungal62 @JoeBiden @realDonaldTrump Quarantine the quarantiners.
Neutral,Justasimian1,"@GamergorlCherry @SCDisme @blairboo16 @JoeBiden Weird, over 60% of ppl got the virus in quarantine."
Neutral,ConnieNicarr,"@YashuaHawkeye As par for the course of rules for the, but not for me.  The Biden's didn't quarantine. If they test… https://t.co/l9jYpoMcfA"
Neutral,LoriKay123,RT @theicyscorpion: @BMLH16 @ZeeCeesay @WeSupportDJT @butterflyjoyz @Annakhait I found the truth during this quarantine which is why I’m 💯…
Neutral,Acitalian1957,@JCisnerosTX Wow...are you really that stricken with the Trump Derangement Syndrome.  I suggest you self quarantine for the next four years
Neutral,Travelbug1955,RT @DonaldJTrumpJr: Donald Trump Jr. to Hit Campaign Trail After Covid Quarantine https://t.co/VnZNKr9Xpq
Neutral,CPmaxine280,"RT @JenniferJJacobs: NEW: Donald Trump Jr., who self-quarantined after traveling with people who later tested positive for coronavirus, is…"
Neutral,CPmaxine280,RT @DonaldJTrumpJr: Donald Trump Jr. to Hit Campaign Trail After Covid Quarantine https://t.co/VnZNKr9Xpq
Neutral,ConnerJanith,RT @KevLPatton: Covid 19 just tested positive for Trump 2020 and will be quarantining for the next 23 days. #Trump2020Landslide
Neutral,CountryglTenn,@politico President Trump's base was pretty pumped ~even when he was still in quarantine! Trump's army was out camp… https://t.co/r1ArVWZPCu
Neutral,SEEKnFINDTRUTH,"RT @MidnightStrider: Only true leaders like Cuomo, Whitmer, Wolf, Murphy and Newsom had the good sense to quarantine infected #Covid19 pati…"
Neutral,momto3_sonya,"RT @MidnightStrider: Only true leaders like Cuomo, Whitmer, Wolf, Murphy and Newsom had the good sense to quarantine infected #Covid19 pati…"
Neutral,trail_8,"RT @MidnightStrider: Only true leaders like Cuomo, Whitmer, Wolf, Murphy and Newsom had the good sense to quarantine infected #Covid19 pati…"
Neutral,TbcookZumot,"RT @MidnightStrider: Only true leaders like Cuomo, Whitmer, Wolf, Murphy and Newsom had the good sense to quarantine infected #Covid19 pati…"
Neutral,KayLocke2,"RT @MidnightStrider: Only true leaders like Cuomo, Whitmer, Wolf, Murphy and Newsom had the good sense to quarantine infected #Covid19 pati…"
Neutral,LionsOmega,"RT @MidnightStrider: Only true leaders like Cuomo, Whitmer, Wolf, Murphy and Newsom had the good sense to quarantine infected #Covid19 pati…"
Neutral,XNobleAmericanX,"RT @MidnightStrider: Only true leaders like Cuomo, Whitmer, Wolf, Murphy and Newsom had the good sense to quarantine infected #Covid19 pati…"
Neutral,BAdleson,"'Like we're going into quarantine': Americans plan to stockpile food this fall over fears of COVID-19 surge, electi… https://t.co/eruRY1AlvW"
Neutral,KEEFERDOGGIE,"REMIND @ChrisCuomo
He VIOLATED the COVID
QUARANTINE PROTOCOL
👇👇👇
CNN’s Cuomo: Trump Is Doing a ‘Happy Dance’ with 2… https://t.co/BwapVHBtQV"
Neutral,atticrahman,"RT @DrGABaines: Labour:
- Opposes local lockdowns
- Implements local lockdowns in Wales
- Oppose national lockdown
- Supports national lock…"
Neutral,glasterlaw1,"RT @DrGABaines: Labour:
- Opposes local lockdowns
- Implements local lockdowns in Wales
- Oppose national lockdown
- Supports national lock…"
Neutral,MeltonBlue,"RT @DrGABaines: Labour:
- Opposes local lockdowns
- Implements local lockdowns in Wales
- Oppose national lockdown
- Supports national lock…"
Neutral,Marshmyst,"RT @DrGABaines: Labour:
- Opposes local lockdowns
- Implements local lockdowns in Wales
- Oppose national lockdown
- Supports national lock…"
Neutral,RASHROCKFORD,"RT @JobCreatorsUSA: President Trump is leading us out of lockdowns,
 
The election of Joe Biden would lead us right back into lockdowns...…"
Neutral,pamreeb,"RT @tedcruz: Even Lefty World Health Organization gets it—lockdowns are TERRIBLE:

“Lockdowns just have one consequence that you must never…"
Neutral,TheaDickinson,"RT @TheaDickinson: The man who refused to vote for stronger lockdown measures ONLY LAST WEEK now demands stronger lockdown measures 🤷‍♀️

#…"
Neutral,GEStevens67,"RT @TheaDickinson: The man who refused to vote for stronger lockdown measures ONLY LAST WEEK now demands stronger lockdown measures 🤷‍♀️

#…"
Neutral,Richard9747,"RT @TheaDickinson: The man who refused to vote for stronger lockdown measures ONLY LAST WEEK now demands stronger lockdown measures 🤷‍♀️

#…"
Neutral,atticrahman,"RT @TheaDickinson: The man who refused to vote for stronger lockdown measures ONLY LAST WEEK now demands stronger lockdown measures 🤷‍♀️

#…"
Neutral,Rita24688446,A Vote for Biden assures a lockdown.
Neutral,AliBakirdan,Vote straight Republican to end these insane lockdowns!
Neutral,DanAndr01130932,"@JoeBiden is an advocate of lockdowns, do you really want him in the WH?"
Neutral,Perch313,"RESIST LOCKDOWNS AND MASK.

VOTE TRUMP. 
ALTERNATIVE IS NOT AN OPTION."
Neutral,TerrieL40520451,RT @kerpen: This is why a Biden win could result in lockdown.  His supporters want it.
Neutral,patrioticseoul,RT @kerpen: This is why a Biden win could result in lockdown.  His supporters want it.
Neutral,No_MandatoryVax,RT @kerpen: This is why a Biden win could result in lockdown.  His supporters want it.
Neutral,DawnBaker2,RT @kerpen: This is why a Biden win could result in lockdown.  His supporters want it.
Neutral,MSngr79,@JoeBiden I’ve seen more people at a car lot during a Covid lockdown than what Joe had...
Neutral,jomomackio,@JoeBiden Why would you share this ? You realize WHO came out against lockdowns this week ? Oh no JOe 😒
Neutral,QueenBe32178524,"RT @DrLeeJones: ""circuit break"" is to lockdown

as

""people's vote"" was to second referendum"
Neutral,robdcasler,WHO must not know our election date...They are a month early announcing lockdowns BAD!!
Neutral,evan___mays,".@realDonaldTrump @JoeBiden, y’all want my vote? Ban Respondus Lockdown Browser. You have 24hrs."
Neutral,ChuckMa10442409,"RT @michael86389460: @JasonMillerinDC @RudyGiuliani @PhillyInquirer This November 3rd is an election between Lockdowns and Liberty, between…"
Neutral,CowTrump,RT @vinnyanm1: Trump: ‘I Was Right About Damaging Lockdowns’ - https://t.co/mTHi98oZRs
Neutral,CaliRightWinger,Look at the states in major lockdowns - this is not about the virus but the election https://t.co/yLoaZEaxbf
Neutral,CaliRightWinger,Look at the states in major lockdowns - this is not about the virus but the election https://t.co/AauNsfOi4J
Neutral,DMSterner,@JoeBiden Even WHO says lockdowns are more harmful than the shamdemic. https://t.co/5ggTk5308w
Neutral,KatetheRight62,In the midst of massive economic shutdowns. Let that sink in.
Neutral,omarirob55,RT @catturd2: Mitch McConnell should just hold the vote and shutdown this clown show.
Neutral,JeffThiessen3,RT @catturd2: Mitch McConnell should just hold the vote and shutdown this clown show.
Neutral,JodieC20,RT @catturd2: Mitch McConnell should just hold the vote and shutdown this clown show.
Neutral,Kamillekampy,RT @JustinRSkedel: Biden really does want to shutdown our country https://t.co/IBEMKlHoVv
Neutral,ARand2020,"@redsteeze I really hope FB gets shutdown completely after the election. I would prefer now, but let's be real."
Neutral,VanityVonSyn,RT @1John534: Do we get to vote on the unconstitutional shutdown orders and mandates to bring them to an immediate end?
Neutral,EzENeverADimm1,@larryelder @JackSmi60054416 @JoeBiden @MittRomney Very forgettable? Not yet. Vote Romney out. (And no go fo “shutdown jo!”)
Neutral,Ramona95317090,RT @Mark_E_Noonan: The WHO declaration that shutdowns are no good was because they believe the polls: they want Biden to be able to ditch t…
Neutral,jimdwrench,RT @Mark_E_Noonan: The WHO declaration that shutdowns are no good was because they believe the polls: they want Biden to be able to ditch t…
Neutral,1stayinformed,"RT @ZibaLady1: Seriously?
This coming from the guy who wants to completely shutdown the country until a vaccine that he likes has been deve…"
Neutral,ZibaLady1,"RT @ZibaLady1: Seriously?
This coming from the guy who wants to completely shutdown the country until a vaccine that he likes has been deve…"
Neutral,gaiusxxx1,"RT @Chicago1Ray: @realDonaldTrump Sweden never Shutdown and they have far fewer cases than anywhere in the world, @TuckerCarlson had a segm…"
Neutral,TMB3000,"RT @SpringAyn: @rn_gal @TMB3000 @JoeBiden Kamala and the Democrats pushing shutdowns all think they are more important than everyone else,…"
Neutral,San1Clara,"RT @Chicago1Ray: @realDonaldTrump Sweden never Shutdown and they have far fewer cases than anywhere in the world, @TuckerCarlson had a segm…"
Neutral,rockabama,"RT @Chicago1Ray: @realDonaldTrump Sweden never Shutdown and they have far fewer cases than anywhere in the world, @TuckerCarlson had a segm…"
Neutral,JaniceISmith,RT @ElBoss757: @realDonaldTrump @DonaldJTrumpJr @EricTrump #JoeBiden incorrectly saying plant shutdown when there was none. He caused worke…
Neutral,CalifDeplorable,"RT @Chicago1Ray: @realDonaldTrump Sweden never Shutdown and they have far fewer cases than anywhere in the world, @TuckerCarlson had a segm…"
Neutral,NatuElvisTowers,RT @JRobertSmith1: Antifa needs to be declared a domestic terrorist organization and shutdown. It's terrorists need to be arrested and lock…
Neutral,conniewidman,"RT @Chicago1Ray: @realDonaldTrump Sweden never Shutdown and they have far fewer cases than anywhere in the world, @TuckerCarlson had a segm…"
Neutral,BrownYasmine,"RT @Chicago1Ray: @realDonaldTrump Sweden never Shutdown and they have far fewer cases than anywhere in the world, @TuckerCarlson had a segm…"
Neutral,barbara5152,"RT @Chicago1Ray: @realDonaldTrump Sweden never Shutdown and they have far fewer cases than anywhere in the world, @TuckerCarlson had a segm…"
Neutral,proudamericanmm,"RT @Michael32112332: @Ten_A_C_Girl @proudamericanmm Same plan he had in 2009 re: H1N1. NOTHING. NO SD'G, NO MASKS, NO SHUTDOWNS, NO TESTING…"
Neutral,AnaForTruth,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,SicilianGirl208,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,Jeanne7757,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,B59436Ted,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,DavidSuarezAvi1,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,bmac_4Trump,"RT @realDonaldTrump: Vote TRUMP California. No more blackouts, shutdowns, ridiculous forrest fires, or water “rationing” (coming soon). We…"
Neutral,condoqueenCS,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,mitigirl,RT @MarkSpille: @GovMikeDeWine Ah. More questionable test just in time for the election to drive up cases and shutdown in person voting. I…
Neutral,NurseOnThis,"RT @realDonaldTrump: Vote TRUMP California. No more blackouts, shutdowns, ridiculous forrest fires, or water “rationing” (coming soon). We…"
Neutral,PatMann1,"RT @realDonaldTrump: Vote TRUMP California. No more blackouts, shutdowns, ridiculous forrest fires, or water “rationing” (coming soon). We…"
Neutral,NY2LATrubs,"RT @realDonaldTrump: Vote TRUMP California. No more blackouts, shutdowns, ridiculous forrest fires, or water “rationing” (coming soon). We…"
Neutral,mrisue44241721,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,howellj7,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,LynetteSax,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,trevors241,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,trumpturnaround,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,lavery1965,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,bold4truth,"RT @realDonaldTrump: Turn California around. No more shutdowns, rolling blackouts, forest fires (management), or water rationing (because m…"
Neutral,ReneeinTx,RT @michael86389460: @TheLastRefuge2 @SidneyPowell1 @JudicialWatch @TomFitton This November 3rd is an election between Lockdowns and Libert…
Neutral,TrumpPence_Won,RT @toby_dorena: Reminder 🇺🇸 @JoeBiden said he WOULD do a lockdown! #WakeUpAmerica #WalkAwayFromDemocrats #SayNoToJoe #VoteRedToSaveAmerica…
Neutral,UlibarriAlice,"RT @michael86389460: @UlibarriAlice @newsmax @stinchfield1776 @DineshDSouza This November 3rd is an election between Lockdowns and Liberty,…"
Neutral,Tenacity88,RT @toby_dorena: Reminder 🇺🇸 @JoeBiden said he WOULD do a lockdown! #WakeUpAmerica #WalkAwayFromDemocrats #SayNoToJoe #VoteRedToSaveAmerica…
Neutral,terri_gowin,"RT @michael86389460: @MariaBartiromo @MorningsMaria @FoxBusiness This November 3rd is an election between Lockdowns and Liberty, between La…"
Neutral,yanceysl,"RT @michael86389460: @pastormarkburns This November 3rd is an election between Lockdowns and Liberty, between Law and Order and Anarchy, be…"
Neutral,ashley_theis,RT @gatewaytogold: Shouldn’t this mean that our governors should end the lockdown.  Who are they listening to?  It’s not their conscious an…
Neutral,BRoss7547,RT @gatewaytogold: Shouldn’t this mean that our governors should end the lockdown.  Who are they listening to?  It’s not their conscious an…
Neutral,LJKtrustthePlan,RT @gatewaytogold: Shouldn’t this mean that our governors should end the lockdown.  Who are they listening to?  It’s not their conscious an…
Neutral,Sam2323_43433,RT @gatewaytogold: Shouldn’t this mean that our governors should end the lockdown.  Who are they listening to?  It’s not their conscious an…
Neutral,StanleyHooker4,"RT @thereclaimparty: @LozzaFox on @JeremyVineOn5 this morning talking about @thereclaimparty, #lockdown and saving our statues @_SaveOurSta…"
Neutral,TinaJact,"RT @michael86389460: @TheLeoTerrell @realDonaldTrump @BlackVoices4DJT This November 3rd is an election between Lockdowns and Liberty, betwe…"
Neutral,lewisorne117,"RT @michael86389460: @thebradfordfile This November 3rd is an election between Lockdowns and Liberty, between Law and Order and Anarchy, be…"
Neutral,xxTracey66xx,RT @BrunoAm05317727: Poll: Do you agree with @Keir_Starmer  calling for national circuit lockdown? Vote and retweet
Neutral,FrankMcCann2,RT @BrunoAm05317727: Poll: Do you agree with @Keir_Starmer  calling for national circuit lockdown? Vote and retweet
Neutral,mcmlinton,"RT @ali: TRUMP: Biden's ""unscientific lockdown""

YES! Thank you, Mr. President!
@realDonaldTrump"
Neutral,fookcu_f,"RT @crsphilly: 🔥🔥🔥BREAKING🔥🔥🔥
     Democrats IGNORE the 
      SCIENCE in FAVOR of 
       MASS LOCKDOWNS
      
Dr. Atlas breaks down the…"
Neutral,ReaganBrat,"RT @michael86389460: @tedcruz This November 3rd is an election between Lockdowns and Liberty, between Law &amp; Order and Anarchy, between more…"
Neutral,gofmkk,"RT @heretosaveday07: ""The World Health Organization finally confirmed what we have been telling you for months,"" Lockdowns are Wrong!. ""Tha…"
Neutral,Lindamu9,"RT @heretosaveday07: ""The World Health Organization finally confirmed what we have been telling you for months,"" Lockdowns are Wrong!. ""Tha…"
Neutral,pamelamc57,"RT @LarrySchweikart: Here's a biggie from OH, but is EVERYWHERE there are lockdowns:

Confirmed: No ""souls to the polls."" 

Say goodbye, bl…"
Neutral,cpeterson70,"RT @michael86389460: @ShannonBream This November 3rd is an election between Lockdowns and Liberty, between Law &amp; Order and Anarchy, between…"
Neutral,MorgantownWVGuy,"RT @crsphilly: 🔥🔥🔥BREAKING🔥🔥🔥
     Democrats IGNORE the 
      SCIENCE in FAVOR of 
       MASS LOCKDOWNS
      
Dr. Atlas breaks down the…"
Neutral,michael86389460,"@RepMattGaetz @realDonaldTrump @TheNatPulse This November 3rd is an election between Lockdowns and Liberty, between… https://t.co/uczA0WZX2r"
Neutral,michael86389460,"@ChristianWalk1r @HerschelWalker @KingJames This November 3rd is an election between Lockdowns and Liberty, between… https://t.co/UbkpR9r7pE"
Neutral,jenny30874114,"RT @heretosaveday07: ""The World Health Organization finally confirmed what we have been telling you for months,"" Lockdowns are Wrong!. ""Tha…"
Neutral,kpnationalist19,"RT @crsphilly: 🔥🔥🔥BREAKING🔥🔥🔥
     Democrats IGNORE the 
      SCIENCE in FAVOR of 
       MASS LOCKDOWNS
      
Dr. Atlas breaks down the…"
Neutral,realpatriot789,"RT @michael86389460: @FoxNews This November 3rd is an election between Lockdowns and Liberty, between Law &amp; Order and Anarchy, between more…"
Neutral,vjbrooks12,"RT @crsphilly: 🔥🔥🔥BREAKING🔥🔥🔥
     Democrats IGNORE the 
      SCIENCE in FAVOR of 
       MASS LOCKDOWNS
      
Dr. Atlas breaks down the…"
Neutral,lynnhackett50,"RT @heretosaveday07: ""The World Health Organization finally confirmed what we have been telling you for months,"" Lockdowns are Wrong!. ""Tha…"
Neutral,orcatra,"RT @michael86389460: @KimStrassel @KurtSchlichter This November 3rd is an election between Lockdowns and Liberty, between Law &amp; Order and A…"
