Sentiment,User,Post Content
Neutral,redkroovy7,"RT @CurtisHouck: #Tucker was 🔥🔥: ""America is locking down again...Joe Biden has promised more of it. Masks and quarantines, limits on trave…"
Neutral,MangRegion,"@chicagosmayor I have a multiple choice question:

""It is safe to break quarantine 
and/or join a gathering if...:""… https://t.co/vHtvLYq2Fd"
Neutral,rebecca_boubel,"@dukewindsor388 One good thing about Quarantine, for me, is not having to see those in my family that are still Tru… https://t.co/axM7b2qQhe"
Neutral,CaffThoughts,"Due to his quarantine, Tuesday marks the first votes @ChuckGrassley has not cast in service to Iowans in more than… https://t.co/DGiBfkGFa3"
Neutral,dianero87998084,"RT @GarrettHaake: With two Republicans in COVID-exposure quarantine, two voting no and one absent (but would have been no) Shelton Fed nomi…"
Neutral,DonaldMccalment,"RT @GarrettHaake: With two Republicans in COVID-exposure quarantine, two voting no and one absent (but would have been no) Shelton Fed nomi…"
Neutral,AndyJon35765960,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,NoahDeplorable,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,Roonie_Bear,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,NJAsianMaga,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,tammywil2445,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,Denise19607180,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,Italia191,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,Luce_52,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,Qfollower16,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,DebBuch65056906,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,Donlusin,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,KatieFLelite7,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,TXWOP_45,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,Sicilia191,RT @italia515: Hmmmm Didn't 130 of the secret service just go into quarantine? Also Pence is on a 10 day holiday vaca? Something is coming…
Neutral,TrustInSessions,"@SenateCloakroom 2 were quarantined for covid reasons, 2 RINO’s voted with Dem so McConnell vote no as well. This g… https://t.co/DR1FnlLV2L"
Neutral,cyrptologistics,"RT @ChadPergram: Grassley is quarantining today. Missed 1st Senate vote since ‘93. A run of 8,927 consecutive votes. Says “I’m disappointed…"
Neutral,PaulaBuermele,"RT @ChadPergram: Grassley is quarantining today. Missed 1st Senate vote since ‘93. A run of 8,927 consecutive votes. Says “I’m disappointed…"
Neutral,cherrybaysb,"RT @ChadPergram: Grassley is quarantining today. Missed 1st Senate vote since ‘93. A run of 8,927 consecutive votes. Says “I’m disappointed…"
Neutral,NavyVeteranMAL,RT @telb77: U.S. Senate Vote on Fed Nominee Shelton in Doubt as Grassley Quarantines | https://t.co/eosUhMsJvG https://t.co/YwRxCvgXmJ via…
Neutral,PittSportMomma,RT @honnnnie2: Lockdowns or No Lockdowns!! Why??? Who Benefits?? View!! #RedKingdom  @realDonaldTrump #WomenForTrump  #MillionMagaMarch #St…
Neutral,honnnnie2,RT @honnnnie2: Lockdowns or No Lockdowns!! Why??? Who Benefits?? View!! #RedKingdom  @realDonaldTrump #WomenForTrump  #MillionMagaMarch #St…
Neutral,honnnnie2,RT @honnnnie2: Lockdowns or No Lockdowns!! Why??? Who Benefits?? View!! #RedKingdom  @realDonaldTrump #WomenForTrump  #MillionMagaMarch #St…
Neutral,KrisODavis,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,CarolSpampinato,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,TKFRoni,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,cecilia48188170,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,yaiyai_meyers3,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,SorensenTracey,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,nick20159896,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,mimismurf965,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,MccurleyMaureen,RT @samanthamarika1: Weird...we went into lockdowns before the BLM riots...now we’re going into lockdowns before the Trump overturning the…
Neutral,debbied78341336,RT @goldend55: also does anyone know why the 8 month lockdown did not stop it but yet Biden wants to lockdown 4 to 6 weeks. https://t.co/Sd…
Neutral,Incognito73,"If #joebiden prevails, there will be nationwide #lockdowns"
Neutral,jezsta1,"RT @Jim_Jordan: Democrats: “No Thanksgiving this year.”

President Trump: “No more lockdowns.”"
Neutral,ssl57,This is also why another lockdown isn’t going to work.  We do not consent!
Neutral,Laserb_INFJ,"If Asa even thinks about a lockdown, Florida or SD here I come. #RINO"
Neutral,covfefemily,@JudgeClayJ Guessing he didn’t get his lockdown vote passed today?
Neutral,melissa2355,RT @heretosaveday07: Is COVID lockdowns part 2 a diversion from the fraudulent election????
Neutral,JoanneTarpon07,RT @heretosaveday07: Is COVID lockdowns part 2 a diversion from the fraudulent election????
Neutral,Erumara1,"RT @TweedDriftwood: Its obvious that the lockdowns have nothing to do with covid, and that's intentional. Its obvious that the election was…"
Neutral,jungman0073,RT @heretosaveday07: Is COVID lockdowns part 2 a diversion from the fraudulent election????
Neutral,USJusticeNow,The Demons are trying to prevent any kind of re-vote by using total lockdown.
Neutral,lamRedUSA,"RT @polisands: @SenKamalaHarris Did you vote no on this too, @LindseyGrahamSC? Reason for fist bump? We are watching you. The lockdowns are…"
Neutral,lauriemkramer,Hopefully DeSantis doesn’t allow the Blue Counties in So. Fl. to lockdown!MAGA💋🇺🇸😭
Neutral,JohnCarpet7,@devinkoneill @IngrahamAngle Who will @JoeBiden sniff if there another lockdown... does he keep the children in his basement with him?
Neutral,DanaManchild,"RT @Concern95274593: These recent calls for shutdowns are NOT for ""the greater good"".

These shutdowns are all about keeping 73 million Tru…"
Neutral,fish_ahoy,"RT @Concern95274593: These recent calls for shutdowns are NOT for ""the greater good"".

These shutdowns are all about keeping 73 million Tru…"
Neutral,poodbit499,"RT @Concern95274593: These recent calls for shutdowns are NOT for ""the greater good"".

These shutdowns are all about keeping 73 million Tru…"
Neutral,zeusFanHouse,"RT @Concern95274593: These recent calls for shutdowns are NOT for ""the greater good"".

These shutdowns are all about keeping 73 million Tru…"
Neutral,bendur6,"Freedom is patriotic, shutdowns and mandates are tyranny @JoeBiden"
Neutral,sharonc17151837,RT @cjdtwit: @DFBHarvard @TheJusticeDept needs to DO SOMETHING.. sick of the silence. Not just the election but our these shutdowns destroy…
Neutral,jamesdison514,@IngrahamAngle @ScottWAtlas @QuakeMedia If they both wait until the States shutdown it will be to late for #Perdue… https://t.co/Sa4YaxqedO
Neutral,deplorableBob63,RT @pvtjokerus: They want the shutdowns now to justify their big bailout bill that they couldn't get done. Then they'll continue on thru sp…
Neutral,over50andright,RT @pvtjokerus: They want the shutdowns now to justify their big bailout bill that they couldn't get done. Then they'll continue on thru sp…
Neutral,Dagny_R_Taggert,They all have from the shutdown to election laws.  The question of judicial activism sadly wasn’t here.  It’s at… https://t.co/ZzpZnOpHtc
Neutral,telephonedave,RT @pvtjokerus: They want the shutdowns now to justify their big bailout bill that they couldn't get done. Then they'll continue on thru sp…
Neutral,alan_vetri,RT @pvtjokerus: They want the shutdowns now to justify their big bailout bill that they couldn't get done. Then they'll continue on thru sp…
