Sentiment,User,Post Content
Positive,christianhjung,"LIGHT AT THE END OF THE TUNNEL! #Covid19 #TrumpLiesPeopleDie 9 days

#StayHome or #WearADamnMask

VOTE:… https://t.co/U4N0AYotRg"
Neutral,ChrisMackBaby,"RT @CosmicActorVist: He won't be campaigning every day if he can't breath because #COVID__19 has him. He needs to quarantine, and if this i…"
Neutral,ElsaInCa,"RT @MotherSquid: No wonder people are having more frequent, higher intensity panic attacks than ever before! It's not the quarantine, it's…"
Neutral,writewhale,RT @nursedebbyb: @just_tinaD @donwinslow And now @VP is not quarantining as he should be with 5 of his staff sick. Exposing the crew of his…
Neutral,DoctorsForBiden,RT @nursedebbyb: @just_tinaD @donwinslow And now @VP is not quarantining as he should be with 5 of his staff sick. Exposing the crew of his…
Neutral,saldali4221,"RT @mkraju: Senators from both parties have quarantined for two weeks after being exposed to aides with virus, even after those same senato…"
Neutral,Lolibraun,"RT @rxjef77: Pandemic, tRump 24/7, a medical situation, was exposed to someone who tested positive and I have to quarantine! Are you fuckin…"
Neutral,whatsmynameThom,"RT @Sabrina_McDa: 5th Pence staffer confirmed positive. Nope .. Pence still wont follow guidelines and quarantine.

Because .. he cares for…"
Neutral,MGRudden,"RT @Sabrina_McDa: 5th Pence staffer confirmed positive. Nope .. Pence still wont follow guidelines and quarantine.

Because .. he cares for…"
Neutral,Cone3Dana,"RT @Sabrina_McDa: 5th Pence staffer confirmed positive. Nope .. Pence still wont follow guidelines and quarantine.

Because .. he cares for…"
Neutral,btktrader,5 close associates of Pence test positive but Pence ignores quarantine! He’s out super spreading just like Trump!
Neutral,PKaminske,"RT @ariel817: @MysterySolvent Yes. Unlike Kamala Harris who quarantined when two in her orbit (not even close to her) tested positive, Penc…"
Neutral,ClaudiaEberly,"RT @B52Malmet: Yeah right, Meadows says pence doesn’t have to follow CDC fuidekiens to quarantine because he is “essential personal”. Good…"
Neutral,jonpier,"RT @B52Malmet: Yeah right, Meadows says pence doesn’t have to follow CDC fuidekiens to quarantine because he is “essential personal”. Good…"
Neutral,NekulturnyTrump,"RT @StopTheCriminal: Donald Trump is responsible for:

Longest Federal Shutdown in history
Highest budget deficit ever
Worst Job record in…"
Neutral,GPWriter,"Losing
you call winning

We’re all losing now
w government shutdowns 
a plunging stock market
&amp; economy
crippling t… https://t.co/OpLUL8G88e"
Positive,DoctorsForBiden,"RT @garybonfante: #VoteHealth #WearAMask 
We are caring for our patients. 
We are get sick. We also die. 
We are passionate about what we d…"
Positive,arw1950,"RT @iche_me: I think @MichelleObama said it best: “#Vote for #JoeBiden like your life depends on it.”

Because it does.

#WearAMask #VoteEa…"
Positive,gsllegn,RT @TrueFactsStated: #MaskUp
Positive,LaraLovesCrows,RT @TrueFactsStated: #MaskUp
Positive,HauntedMemphis,RT @TrueFactsStated: #MaskUp
Positive,jtc482,RT @TrueFactsStated: #MaskUp https://t.co/yw2QG6q69C
Positive,MgmDressmup,RT @TrueFactsStated: #MaskUp https://t.co/yw2QG6q69C
Positive,christianhjung,"LIGHT AT THE END OF THE TUNNEL! #Covid19 #TrumpLiesPeopleDie 9 days

#StayHome or #WearADamnMask

VOTE:… https://t.co/U4N0AYotRg"
Negative,RealGaryShep,We may not have to out vote Republicans if they keep running around maskless.
Negative,CcriderJohn,Trump maskless kkk rallies kill Americans. You have to be idiot to vote for this incompetent fool.
Negative,butterflly63,"Trump shirks Covid-19 guidelines while greeting mostly maskless crowd
https://t.co/qjOEpbFgSs"
Negative,VBullullard,"RT @PissOffTrumpkin: No care in the world. 
Hope karma comes a knocking. 
 Trump maskless along with most of his magats... at a Maine orcha…"
Negative,troyano37,RT @RachelRGonzalez: Right now Donald Trump is MASKLESS giving kids Halloween candy. https://t.co/RIyV4JiFwg
Negative,carlyvwest,RT @RachelRGonzalez: Right now Donald Trump is MASKLESS giving kids Halloween candy. https://t.co/RIyV4JiFwg
Neutral,CullTheDumb,RT @BLONDIE_007_: NYPD cops looting facemasks and other PPE made available to voters in Red Hook as they stand in ludicrously long lines to…
Neutral,Tee58582770,RT @BLONDIE_007_: NYPD cops looting facemasks and other PPE made available to voters in Red Hook as they stand in ludicrously long lines to…
Neutral,Notmyfault6,RT @BLONDIE_007_: NYPD cops looting facemasks and other PPE made available to voters in Red Hook as they stand in ludicrously long lines to…
Neutral,dougiepen,RT @BLONDIE_007_: NYPD cops looting facemasks and other PPE made available to voters in Red Hook as they stand in ludicrously long lines to…
Neutral,idbarrettOR,RT @BLONDIE_007_: NYPD cops looting facemasks and other PPE made available to voters in Red Hook as they stand in ludicrously long lines to…
Negative,Jake4Liberty_v2,"RT @Jake4Liberty_v2: ""Really? Joe you unmasked me 8 days before my father’s inauguration &amp; helped launch the Russia hoax where your corrupt…"
Negative,Giorgio49220924,"RT @KellyannePolls: An increasingly negative &amp; unmasked @JoeBiden yells to a mostly empty lot, coughs into his bare hand, calls millions of…"
Negative,jpsolihull,"RT @KellyannePolls: An increasingly negative &amp; unmasked @JoeBiden yells to a mostly empty lot, coughs into his bare hand, calls millions of…"
Negative,MsErinMurray,RT @DonaldJTrumpJr: Really? Joe you unmasked me 8 days before my father’s inauguration &amp; helped launch the Russia hoax where your corrupt F…
Negative,AJ13962042,RT @DonaldJTrumpJr: Really? Joe you unmasked me 8 days before my father’s inauguration &amp; helped launch the Russia hoax where your corrupt F…
Neutral,gingerhwells,"RT @kabarkoff: “I am an American First”. Powerful new ad with Mike Bowen, the N95 mask maker, who has been a Republican his whole life but…"
Neutral,NTropyS,"RT @zellnor4ny: Yesterday cops in Red Hook confiscated a table of PPE because it was “electioneering” (it was not) and now, on the same day…"
Neutral,oldsargepap,"RT @TracieLVaughn: If this were even remotely true, doctors and their facilities would be able to resupply their own PPE to keep their pers…"
Neutral,JamesTorrenceJD,Testing PPE for Early Voting and Election Day! Orlett and Jace approve! https://t.co/Mn5zHg0qfJ
Neutral,WalczakLinda9,RT @JoshuaPotash: The NYPD endorsed Trump. Then yesterday they stole PPE from people voting. Then last night they blasted Trump 2020 from a…
