Sentiment,User,Post Content
Positive,DsOchoa,"#WearAMask 

#StayHome 

#KeepYourDistance👥↔️👥

#WashYourHands"
Positive,eaglebymyside,RT @brandyleah1: #StayHome https://t.co/3RghPa3lln
Positive,SteveMushynsky,RT @brandyleah1: #StayHome https://t.co/3RghPa3lln
Positive,DsOchoa,"RT @DsOchoa: #WearAMask 

#StayHome 

#KeepYourDistance👥↔️👥

#WashYourHands"
Positive,evil_gop,"Yes...
As long as TRUE Patriots
STAY
THEIR
ASSES
AT
HOME!!!
#StayHome"
Positive,whyamiboredasf,"RT @AlbertaGrogu: #MichelleRempel @MichelleRempel
#Oklahoma

#FuckYouJasonKenney 
#JasonKenneyTaughtMe 
#COVIDIOTS #WearAMask  #StayHome  #…"
Positive,angelfrmcanada,"Glenn has some comic relief, as well as some good advice.  We're in the home stretch!!  #StayHome #StaySafe"
Positive,angelfrmcanada,"Glenn has some comic relief, as well as some good advice.  We're in the home stretch!!  #StayHome #StaySafe… https://t.co/lVjthrzXrd"
Positive,Gross_dg_,RT @nancylevine: Donald Trump: “It is what it is.” RIP Luke Letlow. #StayAtHome #WearAMask
Positive,MichiganWolv101,"@MittRomney Honestly, there would be no need for $2,000 stimulus if WHEN YOUR GOVT ASKS YOU TO NOT WORK #StayAtHome… https://t.co/L5XFv0pLp0"
Positive,MichiganWolv101,"@MittRomney Honestly, there would be no need for $2,000 stimulus if WHEN YOUR GOVT ASKS YOU TO NOT WORK #StayAtHome… https://t.co/JoK5gwmfcD"
Positive,MichiganWolv101,"@MittRomney Honestly, there would be no need for $2,000 stimulus if WHEN YOUR GOVT ASKS YOU TO NOT WORK #StayAtHome… https://t.co/LxsAF5rInD"
Positive,MichiganWolv101,"@MittRomney Honestly, there would be no need for $2,000 stimulus if WHEN YOUR GOVT ASKS YOU TO NOT WORK #StayAtHome… https://t.co/AFhiuFaTdn"
Positive,MichiganWolv101,"@kyfo_ Honestly, there would be no need for $2,000 stimulus if WHEN YOUR GOVT ASKS YOU TO NOT WORK #StayAtHome THE… https://t.co/7nPq197fsW"
Positive,MichiganWolv101,"@DACAMSTER Honestly, there would be no need for $2,000 stimulus if WHEN YOUR GOVT ASKS YOU TO NOT WORK #StayAtHome… https://t.co/ICE41lYNmT"
Positive,MichiganWolv101,"@RBReich Honestly, there would be no need for $2,000 stimulus if WHEN YOUR GOVT ASKS YOU TO NOT WORK #StayAtHome TH… https://t.co/jqrd1pi6ra"
Neutral,sara_teaster,Did I quarantine away a few months and wake up on April 1st?
Neutral,PerniciousZ,@Jim_Jordan Washington ordered quarantine measures to protect against smallpox. So that's one vote against you.
Neutral,BethHen97380799,@CREWcrew Punish people with possible death if they don't vote red ????  Have we turned into Nicaragua whilst is was busy quarantining???
Neutral,KatCapps,RT @Journo_Christal: Sen. Doug Jones is quarantining and won't be in the Senate to vote to override Trump's NDAA veto
Neutral,PolitJunkieM,RT @UROCKlive1: @EricTrump Doesn't it? Thanks to your father's incompetence the smart half of the country was trying to quarantine to slow…
Neutral,heyjudymodesta,RT @GOPMoralBankrpt: @kylegriffin1 Biden must have the White House deep cleaned and quarantined for a couple of weeks before he moves in.
Neutral,gumboqueen3030,RT @GOPMoralBankrpt: @kylegriffin1 Biden must have the White House deep cleaned and quarantined for a couple of weeks before he moves in.
Neutral,psttome86,"Well, considering that QUARANTINES were Very Common in those days, as one of the few treatments for disease, they w… https://t.co/zyyCZbJFmh"
Neutral,DanielH64300957,@JoeBiden Anyone who tested positive should be quarantined in a FEMA camp for 3 months.  Now go get tested.
Neutral,MoMoDdotcom,"@MysterySolvent So Kayleigh is on a beach, Trump is golfing, Pence is skiing and we are quarantining with no stimul… https://t.co/2rFBmQUQQS"
Neutral,Amandanerd98,@Marilyn00645678 @Daytime_Baller @motherbaus @UCPcutsKill They didnt quarantine either...low and behold the majorit… https://t.co/qjEaozs6cP
Neutral,MoMoDdotcom,"@realDonaldTrump Trump is golfing, Pence is skiing, Kayleigh is on the beach, we are quarantining and missing our l… https://t.co/9YQWI1KH2a"
Neutral,JackLBrand,@Weinsteinlaw They are a cult.  If Trump had said it was super serious and everyone needed to mask/quarantine to sa… https://t.co/ogGWZWXyP3
Neutral,LisaRules,2020 has taught me that Trump supporters really hate their own company! Quarantining has really made them more bats… https://t.co/gJQUY3WmeS
Neutral,FoxyJackieBrown,"Phuq these imbeciles. All of them need to be arrested, pay a big fine and MANATORY quarantined! Sick of their selfi… https://t.co/70mbI6Wf88"
Neutral,F_Corporatism,Jim Jordan got a history lesson about quarantining by our founding fathers. Suggest you pass this along to your Tru… https://t.co/S5C77s3BQ4
Neutral,Ettore31791256,"Pandemia e Trump.
#lockdown"
Neutral,FoodLunatic,@Jim_Jordan We all know that if trump was FOR lockdowns you would be FOR them too. Everything you say is bullshit in service to his ego.
Neutral,PeterMDavies80,"@yaboibomb @the_resistor @realDonaldTrump The only way to stop lockdowns is to stop the virus, which Trump has no interest in doing"
Neutral,billshoemaker21,"RT @VoteBH_2020: I believe that  trump has betrayed America!! 

Do you agree? 

#lockdown 
#LockHimUp 
#TrumpIsNotWell"
Neutral,daved1948,"RT @VoteBH_2020: I believe that  trump has betrayed America!! 

Do you agree? 

#lockdown 
#LockHimUp 
#TrumpIsNotWell"
Neutral,djbsuffolk,@FriendEden100 This is tearing through the south of England at the moment - we're in lockdown because of it and sti… https://t.co/Iu2fZAcbuL
Neutral,verbal_wn13,@eelizaw_926 @beckiogbourne @MamaBurf @JoeBiden What about these spreaders violating their own lockdowns https://t.co/jPr3CllxHP
Neutral,tschepens1,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,mariejo74206645,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,brill_leah,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,michellesawyer6,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,SandyInCalif,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,workclassjane,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,illiesunny,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,MonicaMonicawt1,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,UrieBay,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,NativeTexan74,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,fbdiver,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,RealZiggyFlo,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,ellis_texas,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,DenverNikki,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
Neutral,bllyboy60,RT @rodj_420: @buckeyes2018 @Bobbo80 @DebGraham7 We never had a national shutdown. Not once. This country should've had a national shutdown…
