Sentiment,User,Post Content
Negative,elkinsinbox,Thank you @pastorlocke for standing up to the #RadicalLeft  tyrants.  #endthelockdown
Negative,1776M1k3,"@GovInslee @JayInslee @WAGOP 

#IWillNotComply
#EndTheLockdowns 
#NoMasks 
#openthegyms 
#jayinsleesucks
#MAGA"
Negative,elkinsinbox,I strongly believe this new wave of shutdowns is a means of covering up the election results. #StopTheSteaI #EndTheLockdown
Negative,FixedByDoc,#ImpeachWhitmer #Trump2020NowMoreThanEver #SaveAmerica #EndTheLockdowns #CivilWar2020 I stand with my President… https://t.co/HftS0M9jel
Negative,MichelleSnodgr1,@GovBillLee will you stand up and fight for us? #NoMoreLockdowns
Negative,billiefischer13,"Sad truth, this is why President Trump must win.
#NoMoreLockdowns"
Negative,ChadSmi60581390,"RT @S_Garcia61: #trump2020, Trump had a plan but Biden had to come in ruin it. #nomorelockdown, America was so close but only to realize we…"
Negative,versedude07,#StopTheLockdowns
Negative,ladyluck7265,"@realDonaldTrump @EricTrump @KaitMarieox  #NoLockDowns  if they lock the citizens away, we won't be able to come to… https://t.co/2BMjifouyH"
Negative,TennisLady100,"RT @RepTedBudd: Looks like Joe Biden wants to shut America down again.

We can't let that happen. #NoLockdowns https://t.co/aDbaYh2k9X"
Positive,Germanchick1973,RT @HeyLady1776: @sorrelroanypony @Germanchick1973 @GovMikeDeWine We can also blame @JoeBiden and his #DarkWinter &amp; #NationalLockdown too !…
Positive,MAGA_GUY2020,RT @TrentU23947054: So true.... For u @realDonaldTrump #TrumpIsLosing #Trump2020 #TrumpIsPathetic #Covid_19 #COVID19 #COVIDAlert #stayathom…
Positive,rdelaune,"@BreitbartNews This is The Biden #Covid_19 plan. Wear a mask, that’s it.  Wear a mask. #COVID19 #stayathome #gfy"
Neutral,PaulineGoUSA,#California #CaliforniaLockdown #MAGAMillionMarch #MAGA #KAG #wednesdaythought
Neutral,thewoman62,Has #California that Pelosi actually won re-election? #SanFrancisco #CaliforniaLockdown
Neutral,kenhayes78,"RT @Wordofbeak: LOL.
Couldn't be reached by phone because of quarantining..."
Neutral,tbarr0357,"So did Donald J Trump,  the virus quarantined for 2 weeks."
Neutral,WendyThePooh63,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
Neutral,DarlaDunkin,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
Neutral,SteveAn1012,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
Neutral,myatt519051,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
Neutral,RenishFairin,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
Neutral,coconutta5,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
Neutral,unctarheels5633,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
Neutral,Lyn50694091,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
Neutral,Jesusistruth3,RT @BeholdIsrael: If a quarantine wasn’t required upon return to Israel I would also!
